"id"	"researcher_name"	"application_title"	"application_summary"
"395391"	"Abolmaesumi, Purang"	"Medical image processing and computer-assisted surgery"	"This proposal focuses on the development of advanced computational methods for ultrasound image processing with applications in computer-assisted surgery and cancer diagnosis. Ultrasound imaging, in contrast to conventional imaging technologies, has significantly lower cost. It is also non-ionizing, which is especially important to children and pregnant women, and reduces potential harm to all patients and surgeons.    A computational framework will be created to integrate real-time ultrasound imaging with computer-assisted surgical procedures. By combining the segmentation of the anatomy from medical images with the registration of the patient to the surgical plan, this framework will enable real-time visualization of the anatomy throughout the surgery. This framework will also be used to generate probabilistic, rather than absolute, surface-based statistical anatomical atlases. The resulting atlases will be employed in the development of new atlas-to-patient registration techniques. Although the initial focus of this research will be on orthopaedic surgery, the framework will also be applied to soft tissue anatomy, with applications in radiotherapy and laparoscopic procedures.   As part of this research program, new computing algorithms for processing ultrasound signals, with applications in cancer diagnosis, will be developed. These algorithms will examine a new method in tissue typing: raw ultrasound signals may contain tissue typing information that is not available from conventional ultrasound images. This hypothesis will be verified by extracting spectral and fractal features  from ultrasound signals collected from human tissue samples.  The correlation between the extracted features and the existence and grade of cancer will be investigated using advanced pattern recognition techniques. This research is expected to positively impact the lives of many Canadians suffering from prostate and other forms of cancers.   This research offers HQP training opportunities in computer-assisted surgery and in image processing. Students will apply their technical knowledge to high-impact medical problems with practical implications.""407039,""Abotossaway, MarkAnthony"
"406146"	"Affes, Sofiène"	"Enabling signal processing techniques for cognitive wireless transceivers"	"Fourth-generation (4G) wireless communications are expected to deliver very high transmission rates to or from mobile terminals over different multi-carrier and multi-antenna air-interfaces in a seamless and versatile fashion, no matter what the surrounding environment, link conditions and network topologies are. This stringent requirement calls for developing new ""cognitive"" transceivers that swiftly and optimally adapt to variable operating conditions such as changes in multi-carrier and/or multi-antenna air-interface configuration, mobility, traffic location and/or load, propagation characteristics, and/or topology in mobile ad hoc networks (MANETs) in particular. This research project is directed at developing enhanced signal processing techniques as powerful tools for the efficient design of such new ""cognitive"" transceivers. These transceivers would not only provide the self-adaptation capability required by future wireless technologies to optimally operate in variable transmission conditions, but will also offer transparent migration between different radio interfaces and network topologies, all available form then on at low hardware cost on a unique wireless terminal. They would bring extremely efficient solutions to the tremendous challenges posed by future deployment of 4G such as designing multi-mode terminals and allowing transceiver software radio reconfiguration by software downloads over the air. From this perspective, they could have a major impact on future deployment of 4G by simplifying both the design of the terminals and the discovery/selection of the wireless system among the many that will be offered simultaneously to the user.""399100,""Affes, Sofiène"
"393616"	"Affes, Sofiène"	"Enabling signal processing techniques for cognitive wireless transceivers"	"Fourth-generation (4G) wireless communications are expected to deliver very high transmission rates to or from mobile terminals over different multi-carrier and multi-antenna air-interfaces in a seamless and versatile fashion, no matter what the surrounding environment, link conditions and network topologies are. This stringent requirement calls for developing new ""cognitive"" transceivers that swiftly and optimally adapt to variable operating conditions such as changes in multi-carrier and/or multi-antenna air-interface configuration, mobility, traffic location and/or load, propagation characteristics, and/or topology in mobile ad hoc networks (MANETs) in particular. This research project is directed at developing enhanced signal processing techniques as powerful tools for the efficient design of such new ""cognitive"" transceivers. These transceivers would not only provide the self-adaptation capability required by future wireless technologies to optimally operate in variable transmission conditions, but will also offer transparent migration between different radio interfaces and network topologies, all available form then on at low hardware cost on a unique wireless terminal. They would bring extremely efficient solutions to the tremendous challenges posed by future deployment of 4G such as designing multi-mode terminals and allowing transceiver software radio reconfiguration by software downloads over the air. From this perspective, they could have a major impact on future deployment of 4G by simplifying both the design of the terminals and the discovery/selection of the wireless system among the many that will be offered simultaneously to the user.""413630,""Affes, Sofiène"
"402808"	"Aiello, William"	"Security for enterprises and ISPs"	"It is a truism that the Internet has become integral to nearly all aspects of modern life, from science to entertainment, from government to industry, from the economy to our culture.  But while the open architecture of the Internet has been the chief enabler of it's explosive growth, this same openness, combined with the abundance of insecure commercial software installed in end-hosts, has provided attackers with a nearly inexhaustible supply of vulnerable hosts to exploit, either as primary victims or as intermediate steps in a chain of exploits.  Some of these exploits have resulted in attacks of massive scale such as worms, viruses, and distributed denial of service attacks, creating major disruptions in enterprises and routing subsystems throughout the Internet.  We propose here research into techniques and tools for enterprises to better secure their networks, hosts, and data resources and for large Internet Service Providers to protect their customers.  Two themes recurr throughout this research.  The first is an emphasis on the anomaly detection approach rather than the misuse detection approach.  In the later, models are made of illegitimate traffic and alarms are raised when traffic or behaviour matches a model.  In the former, a model is made of legitimate traffic and an alarm is raised when traffic or behaviour deviates from the model.  The majority of security tools rely on misuse detection as there is a wide-spread belief that the behaviour of computing systems are too complex to model for use in anomaly detection.  Here we investigate several anomaly detection schemes that have significant promise.  The second theme is an emphasis on using real traffic data collected from operational environments to evaluate the efficacy of our methods.""406741,""Aiffa, Mohamed"
"392204"	"Aïmeur, Esma"	"Privacy issues in electronic commerce and e-learning"	"Web personalization is an Internet technique for adapting websites to individuals. In general, it is based on the user profile, which summarizes what the website knows about the individual user. Unfortunately, this information is too often obtained without the user's knowledge or consent. In this research, I focus on a special class of web personalization technique, known as recommender systems, which have been used primarily in the context of electronic commerce. Recommender systems have also been used in the context of e-learning in order to help students choose programs and courses.Recommender systems are very useful, but they typically come at a price: in order to operate, it would seem that they need to collect information on those who use them. It follows that most current recommender systems suffer from various privacy-protection vulnerabilities. In the case of electronic commerce, customers who wish to obtain accurate recommendations are often asked to reveal information that they may consider private. The potential abuses from unscrupulous merchants could result in a serious erosion of the customer's privacy, who should be able to keep private their personal information and not be tracked against their will.In current e-learning systems: privacy concerns are nearly absent. Only primitive forms of privacy are offered in some platforms, such as not allowing the tutor any access to information about auto-evaluations performed by the learners. Nonetheless, the tutor has access to virtually all the remaining information including who are the students, what parts of the course they referred to, how many times and for how long, and all the information about the quizzes and tests the learner took in his course.The main focus of the proposed research is to develop recommender systems capable of offering the electronic services that we have come to take for granted, but in ways that prevent the creation of user profiles that could be abused. The tutoring process itself, not only its recommendation, will also be studied from a privacy point of view. I shall use my dual expertise in electronic commerce and e-learning to cross-fertilize the two fields.""394486,""Aimez, Vincent"
"394815"	"Alhajj, Reda"	"Adaptive data mining techniques for challenging applications"	"VIREX is a system initially developed at the University of Calgary to facilitate the transformation of relational and object-oriented data into XML format. It has a visual user-friendly flexible interface that allows users to specify their queries and requests with minimum keyboard usage. After getting the first web based version of VIREX, our plan is to expand VIREX to suport a variety of web related applications; and hence turn VIREX into a comprehensive service-oriented system that satisfies the needs of a wide range of users.The main applications of VIREX considered by this research program include, fuzzy query interface, information extraction from the web, content-based image retrieval (CBIR), social network analysis, and gene expression data analysis. The last three applications are attractive because of the growing amount of related information available on the web. The aim is to have VIREX work in a human-understandable way by supporting fuzzy queries. For this task, we will develop an approach capable of analyzing the underlying data, decide on the fuzzy sets for more effective query evaluation. Further, the web is a huge exponentially growing repository, and we will be able to take advantage of the information stored if there is an automated process to extract relevant information and store it in structured databases. CBIR is another application investigated by this proposed research program. Similarity search techniques and clustering the images based on their content will improve their retrieval. It has also been recently realized that knowledge discovery and machine learning techniques are effective for analyzing social networks to extract useful information that guides in identifying terrorist networks, criminal networks and for targeted marketing. The same also applies to gene networks. To meet the needs of the considered applications, the main objective of this research program is to  develop novel techniques for clustering, classification, similarity search and feature reduction by integrating fuzziness, multi-objective optimization, and multi-agents in the process. This will turn VIREX into  an attractive system providing a comprehensive integrated solution for a range of problems.""407803,""AlHalabi, Feras"
"395369"	"Amer, Aishy"	"Advanced real-time algorithms for object-based video content extraction"	"Video is becoming increasingly used in applications as diverse as entertainment, security, education, medicine, and even wireless devices. The introduction of video over mobile devices will accelerate this trend. For example, statistics Canada revealed that Canadians spent 21.6 hours per week watching TV in 2002, and security studies show that security concerns of government agencies, enterprises and individuals are driving the video surveillance market to a constant and robust expansion to be sustained for decades. A fundamental task in all these applications is the extraction of dynamic video content such as moving objects and their features. Video content is subject to different interpretation and video  description can vary according to observers and applications. Video usually includes multiple objects, occlusion, and artifacts. The stable extraction of video content in real-world applications is, therefore, a challenging task. In projects from previous funding, we have investigated real-time stable solutions to the problem of extracting multiple moving objects and features from signals of fixed video camera. We also integrated our solutions in a real-time video surveillance system and tested their individual integration into hardware (FPGA). In this proposal, we will focus on extraction of video content using advanced methods to handle video acquired by a moving camera and variable background. These solutions will use advanced tools, such as wavelet transform or MPEG-7, and be based on multi-levels: video  enhancement to estimate and reduce image noise, video stabilization to compensate for camera motion and changing background, and video analysis to extract moving objects and their features. Expected techniques will be integrated into an advanced (next-generation) video surveillance system. We aim also to implement the multi-level processing on one FPGA. Expected solutions would facilitate and advance the use of video in two intended video applications: in video  surveillance (such as to detect events) and in TV systems (such as to convert between video formats).""410132,""Ameri, Golafsoun"
"394833"	"Anand, Christopher"	"Optimization in MRI and NMR"	"The results of this research will lead to the better utilization of Magnetic Resonance Imaging (MRI) and Nuclear Magnetic Resonance (NMR) equipment.  This will result in a reduction in scan-time for MRI procedures and improve the quality of the resulting scans.  It will allow more NMR experiments to be conducted in existing labs.  MRI is used in clinical imaging, medical research and material science.  In dynamic imaging (e.g., imaging a beating heart, or imaging the passage of a contrast agent through the kidney) the longer the experiment, the more moving tissues and blood will be blurred.  By optimizing the collection of MRI data, this research will give physicians the ability to observe processes at higher resolutions, especially in patients with irregular heartbeats and limited ability to remain still, and thereby improve our ability to diagnose disease.  In addition to reducing blurring as a side-effect of faster exam times, the research in this proposal represents the only attempt to incorporate motion-insensitivity into the trajectory used to collect MR raw data.  This is important both when the tissue of interest is in motion (e.g., cardiac imaging) and when static tissue is obscured by errors caused by nearby tissue in motion (so-called motion artifacts).NMR is the best tool available to study proteins dynamics and thereby determine how they bind to other molecules, but the experiments are very time consuming, including both long experiment times, and the considerable skill required to interpret the ambiguous data.  I have developed a mathematical model to predict the information content of such NMR experiments.  This will allow such experiments to be optimized, dramatically shortening the required experiment time.  This will speed up the process of understanding protein dynamics.""411426,""Anand, Karan"
"389205"	"Antoniou, Andreas"	"Digital signal processing for communications and other applications"	"The availability of highly versatile systems-on-a-chip and powerful computer hardware have led to a heavy demand for digital signal processing (DSP) algorithms and methodologies that can be used in a wide variety of applications, for example, to design digital filters, to process images, or to analyze DNA sequences.  This research will deal with a fairly broad selection of projects concerning the development of DSP algorithms and methodologies for communications and other related applications such as the following:  (a)    )Powerful optimization techniques will be used to develop advanced design methodologies for digital filters that would satisfy a variety of specifications.(b)    )Genetic algorithms that operate on the principles of natural evolution will be applied to a diverse range of  specialized design problems to exploit the flexibility of these algorithms and their ability to explore multiple locales of the parameter space simultaneously.(c)    )The so-called set-membership concept will be applied along with modern optimization methods to develop new classes of  adaptive filters and to apply these filters to applications such as echo cancellation, near-end crosstalk cancellation, and the elimination of multipath signals in wireless communications.(d)    )We plan to combine analysis techniques for nonnegative matrices, the singular-value decomposition, and state-of-the art optimization techniques for the purpose of enhancing the quality of the information that can be extracted from DNA sequences and to extend the application of these techniques to microarrays.(e)    ) We will continue our work on the application of state-of-the-art optimization techniques to the image super-resolution problem.   Image super-resolution is a class of techniques that can be used to construct high-resolution images using a collection of low-resolution images.""408707,""Antoun, Ghadi"
"392106"	"Barbeau, Michel"	"Broadband wireless access mesh network management"	"This project is about high speed wireless networks, such as the WiMax/802.16 mesh networks. They are of growing importance for emergency communications, Internet wireless access, and wireless voice over IP. They are growing in scale and complexity to a stage where management automation is required. Because they feature ad hoc mechanisms, network management needs to be distributed and result from the cooperation of the participating nodes, in contrast to an infrastructure type of network management predominated by the manager-managed node relationship. The manager function is a feature present in every participating node.In this research, the focus is on network security management and network topology management. Our work on security is guided by the analysis of threats. We don't aim at absolute security, which is in a utopia and extremely costly to come close. We look instead at the possible attacks. They are prioritized according to an evaluation of their risk. The level of risk is determined by looking at the factors of potential attacker motivation, level of difficulty, and eventual impact. For instance, in practice a good number of critical risk threats tend to be related with rogue devices. To approach this problem, we dig into wireless network protocol and system descriptions to find data sources that can used to detect anomalies. Geometric and statistical techniques are used to create anomaly detection tests. The effectiveness of the tests is measured in simulation and real network settings.Our work on network topology management is rooted in the area of distributed algorithms for the resolution of graph problems. Such algorithms do address aspects such as cluster formation or dominating node selection. Because of their distributed character, these algorithms potentially address practical ad hoc network topology management issues, such as sponsor node selection in WiMax/802.16. We refine distributed algorithm specifications into protocol descriptions and conducting actual evaluations on simulated and real networks. The performance is evaluated using metrics that are meaningful to network managers.""406520,""Barbeau, Myriam"
